ID,sex,treat,livmass,gimass,gonadmass,muscmass,notes,date,room,original mass,mass,SVL,percentofstartweight,pregnant,eggplug
2,m,0.2,0.1141,0.2925,0.0457,0.0613,,10/17/2018,A,5.15,5.4,55.5,1.048543689,n,n
3,m,2,0.1135,0.1462,0.0297,0.0464,medium fat bodies,10/17/2018,A,3.95,4.4,50,1.113924051,n,n
4,m,0.02,0.2061,0.253,0.641,0.107,medium fat bodies,10/17/2018,A,4.8,4.95,57,1.03125,n,n
5,m,2,0.1287,0.0976,0.0453,0.0366,small fat bodies,10/17/2018,A,3.75,3.5,53.4,0.933333333,n,n
6,m,0.2,0.1518,0.2328,0.0276,0.0672,large fat bodies ,10/17/2018,A,5.85,5.55,56.8,0.948717949,n,n
7,m,2,0.1,0.1808,0.0656,0.0334,large fat bodies/very small gonads,10/17/2018,A,5.95,5.45,57,0.915966387,n,n
8,m,0,0.2719,0.3049,0.0071,0.0655,,10/17/2018,A,6.05,6.8,62.9,1.123966942,n,n
9,m,0.2,0.119,0.2703,0.0107,0.0765,,10/17/2018,A,6.3,6.2,59.2,0.984126984,n,n
10,m,2,0.2566,0.5262,0.033,0.0426,large fat bodies ,10/17/2018,A,5.4,6.15,58,1.138888889,n,n
11,m,0.02,0.153,0.2235,0.0084,0.0664,medium fat bodies,10/17/2018,A,4.6,4.4,50.8,0.956521739,n,n
12,m,0,0.1427,0.2273,0.0357,0.0444,huge fat bodies,10/17/2018,A,3.2,4.25,49.1,1.328125,n,n
13,m,2,0.1438,0.269,0.0525,0.0437,small fat bodies,10/17/2018,A,4.75,5.2,53.4,1.094736842,n,n
14,m,0.02,0.2851,0.2465,0.043,0.057,very large fat bodies ,10/17/2018,A,6.5,7.15,60.8,1.1,n,n
15,f,0,0.0777,0.1814,0.0747,0.0226,fat bodies,10/17/2018,A,3.1,3.25,49.4,1.048387097,n,n
16,m,2,0.1492,0.1297,0.0656,,medium fat bodies,10/17/2018,A,6.45,6.75,61.5,1.046511628,n,n
17,m,0.02,0.1616,0.2914,0.0788,0.0765,fat bodies,10/17/2018,A,5.3,5.8,56.8,1.094339623,n,n
18,f,0.2,0.1008,0.1243,0.1505,0.0177,small fat bodies,10/17/2018,A,2.15,2.25,40.8,1.046511628,n,n
19,m,0.2,0.1204,0.2108,0.1126,0.0773,small fat bodies,10/17/2018,A,5.2,5.6,58.7,1.076923077,n,n
21,m,0.2,0.189,0.1946,0.0585,0.0484,very dark liver/ no fat bodies,10/17/2018,A,5.55,4.8,57.9,0.864864865,n,n
23,f,2,0.0741,0.177,0.0894,0.0292,egg/small fat bodies ,10/17/2018,A,2.5,2.35,44.8,0.94,y,n
24,m,0.2,0.1815,0.2102,0.0132,0.081,medium fat bodies,10/17/2018,A,5.15,5.35,52.3,1.038834951,n,n
26,f,0,0.1168,0.1771,0.0126,0.0345,visible fat bodies/Pale liver,10/17/2018,B,2.25,4,49.5,1.777777778,n,n
28,m,0.2,0.1688,0.2834,0.0099,0.0455,large fat bodies ,10/17/2018,A,5.4,5.4,55.2,1,n,n
30,m,0.02,0.1322,0.1771,0.0761,0.0501,small fat bodies,10/17/2018,A,4.7,4.85,48.8,1.031914894,n,n
32,m,0.2,0.19,0.2206,0.0289,0.1061,medium fat bodies,10/17/2018,A,6.2,6.35,60.8,1.024193548,n,n
33,m,2,0.2026,0.2584,0.0557,0.064,,10/17/2018,A,5.95,6.3,56.5,1.058823529,n,n
34,m,2,0.1085,0.1667,0.0033,0.0689,medium fat bodies,10/17/2018,A,6.15,5.65,57.7,0.918699187,n,n
35,m,0.02,0.2085,0.2642,0.1197,0.0942,,10/17/2018,A,6.4,7.15,65.1,1.1171875,n,n
36,m,0,0.1524,0.2219,0.1052,0.0333,,10/17/2018,A,5.65,5.1,58.2,0.902654867,n,n
37,m,0,0.1519,0.2766,0.0844,0.0577,small fat bodies,10/17/2018,A,6,5.85,59.1,0.975,n,n
38,m,0,0.1969,0.2384,0.0211,0.0496,good fat bodies ,10/17/2018,A,5.65,5.45,59.1,0.96460177,n,n
40,m,0,0.1518,0.2709,0.104,0.0724,visible fat bodies,10/17/2018,B,6.4,6.7,61.5,1.046875,n,n
41,f,0.02,0.1313,0.1617,0.2811,0.0245,,10/17/2018,B,2.25,2.3,39.5,1.022222222,n,n
42,f,2,0.0637,0.1598,0.0631,0.0075,small fat bodies,10/17/2018,B,1.85,2.25,45,1.216216216,n,n
44,m,0,0.0922,0.3256,0.0675,0.0467,,10/17/2018,B,4.35,4.75,54.6,1.091954023,n,n
45,m,0,0.09,0.1447,0.053,0.0142,visible fat bodies ,10/17/2018,B,3.4,3.85,49.2,1.132352941,n,n
48,f,0.02,0.02,0.0389,0.0115,0.0036,,10/17/2018,B,1.2,1.6,39.6,1.333333333,n,n
52,f,0.2,0.0384,0.1286,,0.0123,small fat bodies,10/17/2018,B,1.85,1.5,39,0.810810811,n,n
53,f,0.2,0.087,0.1496,0.1001,0.0015,small fat bodies,10/17/2018,B,2.2,2.3,43.3,1.045454545,n,n
54,f,0.2,0.0738,0.13708,0.1043,0.0186,medium fat bodies,10/17/2018,B,1.75,2.05,42.3,1.171428571,n,n
55,f,0.2,0.1061,0.2352,0.0695,0.0254,medium fat bodies,10/17/2018,B,2.95,2.85,46,0.966101695,n,n
56,f,2,0.091,0.1639,0.0691,0.0116,2 eggs,10/17/2018,B,2.65,2.75,37.7,1.037735849,y,n
60,f,0,0.0383,0.1805,,0.0095,medium fat bodies,10/17/2018,B,1.55,2.15,41.5,1.387096774,n,n
62,f,0,0.0279,0.0826,,0.0105,no fat bodies,10/17/2018,B,0.95,0.95,33.9,1,n,n
63,f,2,0.065,0.1346,0.0746,0.007,medium fat bodies,10/17/2018,A,1.25,1.6,37,1.28,n,n
66,f,0.2,0.0664,0.1587,0.076,0.0147,medium fat bodies,10/17/2018,B,1.85,2.1,42,1.135135135,n,n
73,f,0.02,0.0927,0.1336,0.1679,0.0054,,10/17/2018,B,1.9,2.5,46.4,1.315789474,n,n
74,f,2,0.0658,0.1097,0.0458,0.0084,no fat bodies,10/17/2018,B,2.6,1.95,44.6,0.75,n,n
76,f,0,0.1223,0.1111,0.1057,0.016,visible fat bodies ,10/17/2018,B,2.5,2.3,45.7,0.92,n,n
77,f,0,0.0708,0.0679,0.0165,0.008,healthy fat bodies,10/17/2018,B,2.6,2.05,44.1,0.788461538,n,n
78,f,0.02,0.0876,0.1507,0.06,0.0072,egg/small fat bodies ,10/17/2018,B,2.3,1.9,38.2,0.826086957,y,n
79,f,0.2,0.0911,0.1647,0.013,0.0105,,10/17/2018,B,2.9,2.3,44.5,0.793103448,n,n
80,f,0,,0.01511,0.0938,0.0092,"fat bodes/ No liver, possible AE",10/17/2018,A,2.5,2.6,41.1,1.04,y,n
81,f,0.02,0.114,0.1824,0.2494,0.0315,,10/17/2018,A,2.5,2.85,44.2,1.14,n,n
82,f,0.02,0.0364,0.0735,,0.0089,fat bodies,10/17/2018,A,1.5,1.9,40.7,1.266666667,n,n
